['Tweets'],['polarity']
b'@he7ix @Trollin_Trump Hopefully... depending on who they get next we may be worse off though.',negative
b'RT @mitchellvii: THE WALL EFFECT - Illegal immigration down 67 percent under Trump: Former commissioner - Washington Times https://t.co/LKA\xe2\x80\xa6',negative
"b'RT @aravosis: Trump today blamed Obama for the deadly chemical weapon attack in Syria. Trump didn\xe2\x80\x99t blame Russia, which backs Assad. Trump\xe2\x80\xa6'",negative
"b'RT @ForeignPolicy: A Russian spy tried to recruit Trump adviser Carter Page but thought he was an ""idiot."" Oh well. https://t.co/xAzG2JzYM2'",negative
b'RT @politico: .@realDonaldTrump aide accused of Hatch Act violation after urging Amash primary challenge https://t.co/vwk44xItiX https://t.\xe2\x80\xa6',positive
"b'RT @MaddowBlog: EPA chief, rejecting agency\xe2\x80\x99s own analysis, declines to ban pesticide despite health concerns https://t.co/enen1twSRP\n#Madd\xe2\x80\xa6'",positive
b'Ivanka Trump: \xe2\x80\x98I don\xe2\x80\x99t know what it means to be... \xe3\x80\x8b \xe3\x80\x8b https://t.co/gD4ORy6AUA https://t.co/uPdK16rhli',neutral
b'RTL Trump update Dutch #podcast: https://t.co/Tas559gAsl https://t.co/tpKXIkNRQd',neutral
b'Democrat on Intel Committee says people will go to jail for Trump-Russia collusion https://t.co/r0Q0qfURnv',negative
b'RT @SafetyPinDaily: Seychelles meeting between Blackwater founder and Putin ally points to Trump-Russia back channel   | @independent\nhttps\xe2\x80\xa6',neutral
"b'RT @mitchellvii: Before Rice, Dems have ""no evidence of Trump collusion.""  After Rice, suddenly, ""Trump officials likely going to jail!""\n\nS\xe2\x80\xa6'",negative
"b'RT @dumptrump33: Low Energy Rex and Shit For Brains Trump are not only in over their heads, they are up to their asses in incompetency. #Tr\xe2\x80\xa6'",negative
"b'RT @aravosis: Trump today blamed Obama for the deadly chemical weapon attack in Syria. Trump didn\xe2\x80\x99t blame Russia, which backs Assad. Trump\xe2\x80\xa6'",negative
"b""Trump declares end to 'war on coal,' but utilities aren't listening https://t.co/AY9uPgxbA5 via @Reuters""",neutral
b'@AFEKTMEDIA @RichardTBurnett @WDFx2EU95 @Bernstein Nobody was on a computer at a Trump rally Ever go? We the people elected Trump not bot',neutral
